"a" "b"
"141" 2634.63441 15.579
"590" 4030.83825 15.426
"304" 3043.55409 15.565
"197" 2894.80824 15.524
"365" 3246.91621 15.348
"421" 3386.6464 15.319
"322" 3060.53115 15.367
"721" 4478.70394 15.34
"377" 3280.89017 15.311
"307" 3046.5452 15.481
"617" 4072.63093 15.564
"94" 2397.49123 15.493
"308" 3047.54765 15.37
"422" 3389.65645 15.552
"509" 3725.68307 15.324
"310" 3049.55224 15.321
"6" 2184.82308 15.47
"8" 2189.79546 15.571
"403" 3329.75679 15.425
"25" 2232.68142 15.542
"352" 3109.48207 15.53
"690" 4420.8565 15.494
"505" 3718.65803 15.375
"43" 2258.80946 15.327
"211" 2929.77054 15.419
"578" 4007.7259 15.487
"630" 4104.71891 15.529
"257" 2992.64048 15.454
"418" 3377.6361 15.315
"62" 2288.71105 15.529
"293" 3030.68998 15.551
"131" 2622.81124 15.307
"202" 2905.88317 15.354
"688" 4416.83959 15.551
"598" 4045.8482 15.576
"488" 3694.85617 15.354
"27" 2234.67452 15.571
"12" 2200.83021 15.547
"112" 2571.82947 15.573
"122" 2599.74367 15.376
"46" 2262.66741 15.383
"466" 3646.8283 15.35
"656" 4345.8615 15.351
"292" 3028.71023 15.494
"573" 3999.80491 15.304
"124" 2607.70812 15.561
"28" 2234.69836 15.599
"619" 4077.66305 15.492
"263" 2998.59983 15.583
"702" 4444.665 15.329
"571" 3994.8899 15.396
"614" 4067.62817 15.478
"594" 4040.73038 15.482
"512" 3728.61185 15.541
"661" 4355.84361 15.551
"55" 2277.72257 15.576
"333" 3077.61106 15.567
"609" 4060.61967 15.386
"541" 3769.6625 15.578
"652" 4192.49594 15.505
"361" 3230.87569 15.362
"38" 2251.82492 15.368
"452" 3590.92354 15.328
"503" 3715.83096 15.574
"153" 2652.60781 15.574
"210" 2925.77001 15.311
"276" 3010.65109 15.45
"294" 3030.71522 15.545
"747" 4525.5613 15.377
"593" 4037.76024 15.347
"669" 4373.73123 15.537
"243" 2977.7466 15.31
"327" 3069.52754 15.379
"267" 3002.60259 15.417
"544" 3772.65569 15.441
"405" 3334.65207 15.316
"448" 3451.50364 15.376
"145" 2640.7015 15.297
"78" 2304.65724 15.582
"743" 4520.57107 15.502
"36" 2249.70295 15.335
"707" 4453.6899 15.333
"564" 3967.92666 15.38
"96" 2519.8891 15.576
"730" 4493.63345 15.483
"696" 4435.72441 15.34
"24" 2230.68464 15.485
"349" 3103.47994 15.354
"478" 3674.84563 15.508
"700" 4441.82877 15.529
"603" 4053.75193 15.332
"567" 3979.89009 15.409
"715" 4467.6473 15.397
"431" 3404.54534 15.321
"209" 2925.74463 15.317
"586" 4025.85426 15.525
"628" 4100.81367 15.435
"450" 3570.93499 15.473
"458" 3628.89658 15.346
"323" 3061.53184 15.565
"120" 2594.71242 15.481
"672" 4376.79574 15.411
"174" 2681.65679 15.406
"77" 2303.63409 15.327
"99" 2535.90017 15.578
"531" 3754.54949 15.386
"208" 2921.8267 15.458
"253" 2988.62908 15.322
"515" 3734.67599 15.349
"143" 2637.66064 15.462
"119" 2588.86194 15.346
"472" 3660.73333 15.381
"232" 2963.70988 15.367
"59" 2281.7207 15.444
"534" 3756.74078 15.504
"698" 4438.85581 15.466
"126" 2613.66231 15.339
"344" 3092.54461 15.313
"129" 2620.6647 15.405
"379" 3283.83195 15.559
"545" 3775.6015 15.35
"220" 2946.75836 15.561
"274" 3008.63948 15.406
"495" 3702.82136 15.463
"173" 2679.67085 15.516
"381" 3289.77089 15.306
"662" 4361.8044 15.411
"101" 2542.7723 15.502
"459" 3629.752 15.574
"411" 3352.79773 15.362
"642" 4129.68206 15.495
"324" 3064.55474 15.505
"754" 4540.52209 15.551
"255" 2990.7322 15.415
"97" 2519.91691 15.556
"138" 2631.58976 15.33
"336" 3081.62942 15.355
"605" 4055.70172 15.367
"416" 3366.6796 15.376
"70" 2296.70984 15.382
"585" 4023.74032 15.456
"633" 4107.71741 15.352
"415" 3359.6751 15.326
"151" 2650.59513 15.567
"635" 4117.64551 15.56
"425" 3396.58143 15.562
"316" 3055.53985 15.489
"401" 3325.72219 15.304
"683" 4402.85722 15.532
"245" 2979.77269 15.349
"72" 2298.66592 15.443
"251" 2986.66312 15.332
"748" 4530.50598 15.367
"150" 2646.62934 15.464
"367" 3254.8793 15.566
"476" 3671.72348 15.31
"569" 3987.83486 15.439
"26" 2232.70519 15.538
"354" 3113.47011 15.558
"489" 3695.71141 15.5
"105" 2551.81541 15.541
"675" 4383.78141 15.347
"508" 3722.61147 15.487
"303" 3042.58735 15.368
"482" 3686.80941 15.502
"616" 4069.61853 15.364
"162" 2661.76348 15.502
"474" 3665.75746 15.558
"175" 2681.68257 15.391
"402" 3329.72957 15.436
"526" 3748.61293 15.406
"47" 2264.65114 15.442
"133" 2624.80495 15.366
"412" 3355.66991 15.524
"168" 2669.67909 15.351
"223" 2952.70791 15.31
"665" 4365.74254 15.338
"41" 2256.66946 15.405
"430" 3403.62193 15.54
"708" 4456.66615 15.521
"342" 3089.55926 15.469
"577" 4007.70115 15.471
"132" 2623.6669 15.536
"234" 2966.6768 15.455
"169" 2671.60791 15.424
"655" 4345.84345 15.338
"314" 3053.54112 15.434
"320" 3058.51145 15.311
"224" 2952.73395 15.312
"725" 4484.64661 15.493
"710" 4458.65084 15.418
